sentimen	Tweet
-1	lagu bosan save huhuhuhuhuhuhuhuhuhuu
-1	lanjut diam kau erti sama libat hati
1	doa rezeki putus inna haa zaa larizquna maa lahu min nya fadesungguhnya beri p
1	terima kasih loh entar hasil sisa
-1	faham jenis orang malaysia ret nak sangkut hose geli bodoh nak pegang
0	barusan lihat tulis truk rela injek kopling shopping
-1	cerita mamat tampak masuk cimb ceria tengok muka masam p
1	ya satu nomor satu
-1	capek diri maaf ya
-1	cuba nak amal sikap pergi mampus sayang gagal jenis mudah kesi mudah maaf
0	her lho miss kevin keven rebut gimbot ya wis beli nunjuk the twins asik main ipad masin
0	iya rep enggak tau kelas sd eh block
0	mohon tepat janji penantiancintaeps
0	ria nk kahwin gatal celah kangkang penat kg orang anggap bujang takde kerja and ser
0	ingat habanero pedas kali ganda pedas gila
0	tengok drama cinta kristalatu conversation anak iyee perempuan n
1	i dont know why but these zikir bantu pon hasil orang retweetambil usaha doa insha alla
-1	commitmentetakat hulu hilir together put effort nak kahwin tinggal je bazir
1	aah mas suka ayom
0	butuh interaksi l l yuk line segitu yuk mutualan ku follow auto followback ok rt
0	kau deh streak
0	nunggun video nih retweet full
1	bantu nabung
-1	jahat dubu lantai
0	kisah bf adek kawan perempuan adek kawan laki over nak adu nak cite send
0	high
0	anti malam undang opening hungerbelt spazio teman laahh siiss
-1	nak asa korang simpan duit tabung ana makan duit
1	peduli hidup pilih sisi baik sisi buruk
1	deh nak pengantin gelak natural hahahahahahahahahahaha
1	nak mintak maaf maaf aku salah betul ba
0	ramai sifu property approach join kelas investment etcemua cerita beli rumah murah sewa
-1	kalo gebetan buang ludah jalan pacarin
-1	susah senang panggil
1	yuk netweetjen bantu
1	ya allah ya tuhan kau lindung bapa saat jauh
0	lecturer suruh tampal note kat tengok tak nak tampal kat muka crush
0	pengin nikah umur orang nglamar sih
0	dengar bual budak sekolah nk amik a level nk amik asasi asasi ok matrik aa
0	outin sih outin bayar deh
1	giveaway umur tambah bagi rules ucap wish screenshoo
1	ya allah ya tuhan kau lindung bapa saat jauh
1	selamat jumat bikin rindu kumat
-1	kesi laki and girl goes like mesti attention gf camtuh men are t
1	diremes enyot ngedusel dusel nenen mantap
0	gampaang tau
-1	idm halo ami tolobg bantu ya huhu album ku
-1	takde gf takpe imaginary gf also can lepastu gila kia
1	hi rakyat ku akhirnyauga postelca give away album love yourself answerealed versionnya pilihendiri e
0	makan tido makan tido reput je kat rumah hadap orang haih
-1	bestfriend but gaduh sikit tegur malam koyak sikit pastu post gambar tetib
0	threado as promised nk citer alam ambik teh kurus pil kurus was tuince everyone was sih
0	kaget lihat teman kabar nya meni hati taaruf cium kabar
-1	pacar sibuk ya tumben komen wassap story
-1	kucin meja mintak makan kau sepak ekor ber
-1	lepas kamuadarlah batu
-1	nak asa korang simpan duit tabung ana makan duit
-1	tolong kau nak kacau orang sayang kau fikir asa kau orang kacau buah hati kau
-1	biasa perempuan kena jaga jaga muka malaikat kadang perangai syaitan camni lari laju teruk
1	pilih salah nyama
1	yuk barenga
-1	benci soal bala amelia deh takde duit nk pinjam pinjam lak coba tul pastu lak kena kire
0	mbak link kalo jepang main
-1	birthday abang ajak pergi makan tolak kerja lambat nak ot ajak
1	mini giveaway hubung ultah rezeki pulsa kak like mutualan banget doain ya undi
1	mantan brengsek dilupain jadi ingat salah pilih bego bego
1	aryana tolong buka mata pilih syafiq biar sofea bahagia adrian pls murung kal
0	hyung kanibal
1	buat cita cita bintang langit lupa anak tangga rencana cendekiabijak
-1	laku laku unn
-1	try lupa benda benda down ya allah tolong hilang kecewa
0	jajanin kak
-1	iya kasihan donghae nya lelep
0	enggak punya
0	hi ada give away nih give away nya album bts love yourself answers yey follow retwee
1	cantik confess kat crush peluang kena reject nipis sel epidermis bawang je tang confess hmm
0	rumah anagram besok malam minggu
0	jumat malam kawan mobil sebwah apartemen diurabaya barat b gaes sorry ya a kak
-1	deh kayak kali enggak ada hasil percumaa
-1	ku introvert uang malas
1	cnta tuh kayak foto albm tau dbalk brbh kayak brbh baik
1	indonesia damai pimpin beliau
-1	fakap nak pergi makan ramai nak happy tetibe badmood woii nak makan je woii
-1	awek bising nothing is wrong once awek deh senyap everything is wrong perhaps deh someone
-1	habis berani bawa motor pas bawa motor gemeteran
1	nk walk ajelah senang
1	sentiasa ingat tunjuk gembira orang kecewa moga sentiasa
0	nang kampus ngopi ketemu podo kabeh takok e lapo ubah sosyeti a
-1	gipewei sedih nih seokjin rt fllw rep pict seokjin tag kalo doain enggak apa enggak apa
1	teman teman jatinangor tolong beli ya jual beliau jual kain lap keset dsb
1	hahaa erti
1	kelak orangtua laku anak nak percaya ayah tidur siang men
-1	kabul doa ku klosdonecepatnya okey kalo
1	hibur hahahahahahahahahahahaha
0	kali dek adab budak pinjam buku
1	okay but the bahasa melayu names for our malaysian birds mudah hibur contoh burung rek ber
-1	apebende melalut i better stop
1	iya lucu teman ig
-1	dear makhluk hidup sekitar kalo tau langsung enggak usah orang lumayan
-1	member adek cite kat dibreak up gf die time cerita suddenly menang weyh kot
-1	hati kecewa sedih sorang je orang
0	popular weh sorry blur kali paham maksud hg
1	lhaa kaann ancene arek e pintar wayah e konco ya ambk arek e sopo erti ciprat rejeki
1	give away time raya ulang namjoon ulang ada give away photocard album lov
0	broimak video ribka tjiptaning tulis buku bangga anak pki tuju pki
1	kak
0	mandi diceramahin nyonya inti tobat habis iniiap komandan
-1	suami nasihat forward gambar isteri forward
-1	faham lelaki suka perempuan pakai makeup
-1	wasyuu
1	singgah terakhirebesar harap kepada mengecew
1	lahir jogja jogja juluk kota hati nyaman langsung pakai hati kalo nyaman dikit
1	guys jumpa ayat guna time korang putus asa sabar terbahagi iaitu sabar
0	jual suruh tebuk lubang tahan deh nk kali hb
1	fresh grad tgh cari kerja try amal zikir doa alhamdulillah lepas amal pon
-1	at least maaf okay hilang radar tinggal pesan kau senang nak stick
-1	nak tidur still fikirkan orang sayang okay tidur lena perlu kak
0	kengkawan suka cari nak translate bahasa jawa hahah anak jawa
1	akhlak harga melindun
0	kepo
-1	nak mintak bantu korangemua cari haji loqman bin haji azli mugkin korang kenal mugkin
-1	her miss taman safari ya pasuruan malas nganterno andrew kesana kalo taman safari undang ru
0	cowok juta nih
0	tls followan yuk rep rt temena
-1	modal nomad ribu kotak popcorn modus mesum lancar tama aneh izin maksiat
-1	terkadang allah kasih sakit
-1	back then school cikgu eh cinta kat uni handsome handsome jumpa now i
-1	kenal nya tertawa menang
